id,title,subtitle,tag,rating_number,instructor,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,publish_date,discounted_price,original_price,discount_percentage,category,sub_category,sub_sub_category,section_number,lectures_number,time_spend,level,language,url 
569,Hair and Paint FX with Maya for Beginners,Create nHair and Paint FX hair for animated characters quickly in Maya 2016,N/A,"Xếp hạng: 4,9/54,9 (8 xếp hạng)1.109 học viên","Zero Limit ChannelDigital Training for 3D Artists4,9 xếp hạng giảng viên8 đánh giá1109 học viên1 khóa họcZero Limit Channel has over 10 years experience in the Entertainment Industry which spans over Games, Education, TV, Marketing & Animation in the Caribbean and North America. We are also part of the Channel Frederator Network (Creators of hit shows such as Adventure Time, Fairly Odd Parents, My Life as a Teenage Robot, Fanboy and Chum Chum and many many more.) We provide educational videos to train various members of the network as well as producing various animations both 2D & 3D.Our Company of CG Trainers and Industry Professionals are dedicated to ensuring that you gain the best and latest training in Animation & Special FX.Hiện thêmẨn bớt",75%,25%,0%,0%,0%,Lần cập nhật gần đây nhất 3/2017,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Autodesk Maya,1 phần,13 bài giảng,1 giờ 55 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/nhair-and-paint-fx-bundle-with-maya-2016-for-beginners/
570,Midjourney Mastery: Unleashing Your Artistic Vision with AI,"Learn from 0 everything you need to know about Prompts, Niji Mode, Parameters and Functions, Digital Art + Prompts Ex.",Bán chạy nhất,"Bán chạy nhấtXếp hạng: 4,9/54,9 (1038 xếp hạng)2.896 học viên","Claudiu Ivan AcademyEntrepreneur, Author, Trainer4,8 xếp hạng giảng viên18366 đánh giá95718 học viên49 khóa học   Hello! My name is Claudiu Ivan and I am an investor on the crypto market, author and trainer. I wrote a personal development book called ""Mindset from Zero"" with my brother in 2019 after two bankruptcies with our businesses.   I inspire, teach and help people in over 150 countries through online courses. I create courses and materials that teach you from zero everything you need to know about Crypto, Blockchain, AI Tools and Financial Education.   I strongly believe that each of us has the tools to make a positive change in our lives. Stay positive, work smart in a smart system and make it happen!Hiện thêmẨn bớt",90%,8%,1%,1%,< 1%,Lần cập nhật gần đây nhất 8/2023,1.499.000 ₫,N/A,N/A,Thiết kế,Thiết kế web,Midjourney,8 phần,55 bài giảng,2 giờ 25 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/midjourney-mastery-unleashing-your-artistic-vision-with-ai/
571,Absolute Beginners Retopology and UV unwrapping in 3dsMax,Learn the secrets of retopologizing in 3dsMax,Xếp hạng cao nhất,"Xếp hạng cao nhấtXếp hạng: 4,9/54,9 (60 xếp hạng)550 học viên","NIkolay Naydenov3d character artist and tutor4,8 xếp hạng giảng viên7538 đánh giá28308 học viên25 khóa họcI have interest in arts since i was a very little kid. I was drawing all the time at school and at home. I was barely going out to play with the other kids, and later go to night clubs. Drawing and books were my passions. Later i became a Graphic Designer and then i was 3D character artist at Gameloft for 15 years. I have more than 10 years of experience with Zbrush, but now i use the amazing free software Blender and make courses and characters with its help.",83%,17%,0%,0%,0%,Lần cập nhật gần đây nhất 10/2020,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Ánh xạ UV,1 phần,26 bài giảng,9 giờ 14 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/absolute-beginners-retopology-and-uv-unwrapping-in-3dsmax/
572,After Effects Expressions | Expression Magic,Unlock the Power of Automation and Creativity in Adobe After Effects with Expressions,N/A,"Xếp hạng: 4,9/54,9 (8 xếp hạng)84 học viên","Motion GuruProfessional Motion Graphics Tutorials4,3 xếp hạng giảng viên2031 đánh giá69067 học viên13 khóa họcMotion Guru graphics team with 10 years of experience in the production of motion graphics and visual effects in 2D and 3DA collection that specializes in motion graphics educationNo bull** tutorials on animation and motion design (to save your valuable time)We hope you enjoy our comprehensive and professional tutorials.Enjoy the best Motion Graphics tutorials online.Hiện thêmẨn bớt",87%,13%,0%,0%,0%,Lần cập nhật gần đây nhất 9/2024,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Adobe After Effects,9 phần,36 bài giảng,7 giờ 8 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/expressions-magic/
573,Guide to blueprints: Interior design drafting essentials,How to read and draw blueprints,Xếp hạng cao nhất,"Xếp hạng cao nhấtXếp hạng: 4,9/54,9 (11 xếp hạng)348 học viên","Studio DesignInterior design4,4 xếp hạng giảng viên1244 đánh giá24160 học viên6 khóa họcAt Studio Design, we empower aspiring designers with comprehensive, hands-on courses designed to bring creativity and professionalism to the world of interior design. Our programs cover essential skills like space planning, blueprint reading, color theory, and styling, as well as insights into managing a successful design business.Whether you're new to design or looking to refine your expertise, our courses provide the tools, resources, and mentorship to turn your passion into a thriving career. Join us to learn, grow, and transform spaces with purpose and style.",82%,18%,0%,0%,0%,Lần cập nhật gần đây nhất 2/2025,849.000 ₫,N/A,N/A,Thiết kế,Thiết kế nội thất,Vẽ kỹ thuật,6 phần,18 bài giảng,1 giờ 54 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/guide-to-blueprints-interior-design-drafting-essentials/
574,AutoCAD for Advanced Users,Grow your practical skills in using AutoCAD - From beginners to advanced,N/A,"Xếp hạng: 4,9/54,9 (4 xếp hạng)39 học viên","Mohammed Yaseen AliThe Light Doctor4,2 xếp hạng giảng viên152 đánh giá590 học viên6 khóa họcAre you looking for an experienced and knowledgeable Lighting and DIALux expert to help you learn and grow?Mohammed Yaseen Ali has 10+ years of experience in the industry and is motivated by his mentors to give back to the community. To share the knowledge, he has gained through his works and experiences.He has completed 1000+ designs and assisted his firm in securing orders worth more than $200 million.Enroll in one of the courses today and take advantage from the hands-on expertise in DIALux, AutoCAD and the Lighting industry itself!Hiện thêmẨn bớt",75%,25%,0%,0%,0%,Lần cập nhật gần đây nhất 2/2023,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Phần mềm CAD,10 phần,42 bài giảng,1 giờ 53 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/advanced-commands-in-autocad/
575,Character Animation in Moho & Anime Studio: Run Cycle,Learn how to create professional Character Animations in Moho & Anime Studio,N/A,"Xếp hạng: 4,9/54,9 (32 xếp hạng)259 học viên","McCoy BuckBest Selling Instructor - 2D & 3D Animator4,5 xếp hạng giảng viên1036 đánh giá29559 học viên4 khóa họcMcCoy is a talented character animator, character designer, illustrator, storyboard artist and producer. With skills and experience in pre-production, production and post production he has done training videos for one of Google's biggest clients, Accenture and small businesses creating animation videos. Along with the skills of animation, one of the biggest things McCoy enjoys most is teaching and helping others become more proficient in the production process.",84%,16%,0%,0%,0%,Lần cập nhật gần đây nhất 5/2019,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Moho Anime Studio,6 phần,15 bài giảng,1 giờ 19 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/character-animation-in-moho-anime-studio-run-cycle/
576,Procreate 5X Pattern Brushes to Make and Sell,Create unique texture pattern brushes as creative assets for use in Procreate 5 and for sale online,N/A,"Xếp hạng: 4,9/54,9 (32 xếp hạng)173 học viên","Helen BradleyDesigner, Adobe Illustrator & Procreate 5 Trainer4,7 xếp hạng giảng viên933 đánh giá3409 học viên14 khóa họcHelen Bradley is an expatriate Australian, designer, and educator. She specializes in teaching graphic design using Adobe Illustrator, Procreate 5X, and Adobe Photoshop. She also teaches photo-editing with Lightroom and Photoshop. Helen has taught hundreds of thousands of students world wide and she is recognized as a skilled trainer who ""knows her stuff"" and who is able to communicate even highly technical and complex processes so they are easy to understand. Apart from her technical expertise, one thing students frequently comment on is her lack of 'fluff' she doesn't waste time and she gets to the point quickly.Hiện thêmẨn bớt",84%,13%,3%,0%,0%,Lần cập nhật gần đây nhất 11/2020,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Ứng dụng vẽ hình minh họa kỹ thuật số Procreate,7 phần,21 bài giảng,1 giờ 52 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/procreate-5x-texture-pattern-brushes-to-make-and-sell/
577,Batman! Nomad Sculpt Full Tutorial,Step by step 3D character design course for Nomad Sculpt mobile application!,N/A,"Xếp hạng: 4,9/54,9 (78 xếp hạng)816 học viên","Dave ReedDrugfreedave4,8 xếp hạng giảng viên801 đánh giá3030 học viên6 khóa họcI'm a 2D & 3D illustrator living in Brooklyn, NY! I'm currently a content creator and also work behind the scenes on TV & Films. I've been creating art for over 30 years, and am a School of Visual Arts Alumni. I've recently discovered my passion for teaching, and have found that both creating are AND teaching at the same time is a power play for me. Looking forward to seeing you in class!",82%,15%,3%,0%,0%,Lần cập nhật gần đây nhất 7/2023,1.389.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Dựng mô hình 3D,1 phần,17 bài giảng,6 giờ 9 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/batmannomadsculpt/
578,ZBrush Preparing 3D Scans for 3D printing!,Learn a variety of techniques to cut up and shell your model for 3D printing,N/A,"Xếp hạng: 4,9/54,9 (5 xếp hạng)156 học viên","David NewtonTeacher, Website and 3D Creative Artist4,2 xếp hạng giảng viên684 đánh giá16646 học viên14 khóa học I have worked professionally in many creative sectors for the last 20+ years, being a creative veteran I have taught to advanced level Design, Art, Sculpture, 3D Modelling/Animations/Rendering and Website design. 
  	            I have worked for small companies giving me the rare opportunity not to be pigeon holed, it has also meant I have had to keep up with all the latest techniques and technologies.  
  	            I currently run a company specialising in multi-disciplined creative design, from 3D animations to CMS websites, Banners, Adverts, Logos and a whole host of other work. I try to keep quite active on social media and release FREE Videos and discount on both my website and You Tube channel, check me out! Hiện thêmẨn bớt",80%,20%,0%,0%,0%,Lần cập nhật gần đây nhất 4/2018,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,In 3D,2 phần,19 bài giảng,3 giờ 21 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/zbrush-preparing-3d-scans-for-3d-printing/
579,All about Adobe XD (Experience Design) | Best for beginner,Learn everything from basics to advance prototyping in adobe XD & Start creating complex UI Prototypes on our own .,N/A,"Xếp hạng: 4,9/54,9 (6 xếp hạng)30 học viên","Sasikumar ArasaratnamDigital Art Creation4,7 xếp hạng giảng viên73 đánh giá5900 học viên3 khóa họcMy Name is  Sasikumar Arasaratnam, Graphic designer and artist  based in Singapore. I love exploring vibrant and colorful concepts, and have a deep passion for Vector Art,  3D , User interface design and urban art. I currently running my youtube Channel Digital Art Creation where i do speed art videos & Tutorials on vector design , UiI Design , after effects and other design applications . Now I have decided to do more Complete & meaningful Tutorials to help creative people to update their skills. Thank you for checking out my profile and hopefully you can learn new things from my videos.",67%,33%,0%,0%,0%,Lần cập nhật gần đây nhất 4/2020,449.000 ₫,N/A,N/A,Thiết kế,Thiết kế trải nghiệm người dùng,Adobe XD,2 phần,12 bài giảng,3 giờ 30 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/adobe-experience_design/
580,BLENDER: Learn how to create the military Black Hornet drone,Learn how to create the military nano drone Black Hornet from start to finish using Blender,N/A,"Xếp hạng: 4,9/54,9 (14 xếp hạng)168 học viên","Mrawan Hussain3D artist4,6 xếp hạng giảng viên1701 đánh giá23050 học viên22 khóa họcMarwan Hussein is a 3D artist, as well as an internet marketer. With over 15 years of experience in the field of 3D artistry, Marwan has honed his skills and become an expert in his craft. In addition, he has taught hundreds of students from around the world through his online courses. Marwan is dedicated to helping others learn the art of 3D design and achieve their creative goals.",79%,21%,0%,0%,0%,Lần cập nhật gần đây nhất 12/2022,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Blender,2 phần,45 bài giảng,11 giờ 7 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/blender-learn-how-to-create-the-military-black-hornet-drone/
581,Learn Photoshop Quickly (For Bloggers & Web Images),I will make learning Photoshop easy and you'll pick up the basics in a flash!,N/A,"Xếp hạng: 4,9/54,9 (65 xếp hạng)824 học viên","Lisa IrbyOwner of 2 Create a Website & Entrepreneur4,6 xếp hạng giảng viên65 đánh giá28343 học viên1 khóa học  	                            I'm a full-time Internet entrepreneur who has taught thousands of people online about website creation and marketing through my site, podcast and YouTube channel.   	                  In 2002, I began educating others to create their own websites and monetize them with AdSense, affiliate marketing and more.  In 2006, I quit my full-time job to grow my online business full time.     	                  Since then I have learned to use a lot of different tools and software and have also done consulting part-time for those who want to learn more about website creation and Internet Marketing.     	                I am ecstatic to broaden my reach to the Udemy community and look forward to teaching even more people online.  Hiện thêmẨn bớt",87%,9%,2%,2%,0%,Lần cập nhật gần đây nhất 4/2017,999.000 ₫,N/A,N/A,Thiết kế,Thiết kế & Minh họa đồ họa,Adobe Photoshop,10 phần,28 bài giảng,2 giờ 23 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/pscourse/
582,Charging and Fee Proposals for Interior Designers,Impress Your Clients And Sell Your Services,N/A,"Xếp hạng: 4,9/54,9 (2 xếp hạng)18 học viên","Julia BegbieInterior Design Insider - Recipe For A Room4,8 xếp hạng giảng viên14 đánh giá75 học viên3 khóa họcWhen I gained professional qualifications in 1997, I made my passion my career, and for 25 years my day job combined interior design practice with lecturing on interior design at London's top design college. My design practice has taken me all over the world, I've worked on projects in the UK, the US, the Caribbean, Egypt, and Spain.  My teaching took me into online learning at an early stage, in 2008, and since then I have developed online interior design courses of all levels and lengths.  What drives me to my desk is the desire to share inspirational interior design concepts, and make them really easy to apply; focusing on the insider tips, tricks, and shortcuts I have picked up over 25 years (and counting) of practice.I think that interior design courses should be beautiful AND useful -  I hope you'll find my classes inspirational, and packed full of really helpful and practical tips.  Hiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 3/2024,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế nội thất,Phát triển kinh doanh,3 phần,8 bài giảng,54 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/charging-and-fee-proposals-for-interior-designers/
583,Easily start a freelance web design business in 2025,"Everything you need to learn in order to build a web design business that provides you with Freedom. No BS, no noise.",Xếp hạng cao nhất,"Xếp hạng cao nhấtXếp hạng: 4,9/54,9 (56 xếp hạng)2.163 học viên","Suly S PeerallyWeb Design Mentor & Course Creator4,9 xếp hạng giảng viên56 đánh giá2163 học viên1 khóa họcWelcome to my profile! I've been in the web design industry since 2017 and started my own business from the ground up. I went from being a freelancer to building a web design business with a remote team and since then, I have been doing this full-time. My niche is specifically eCommerce web design.I've learned from mentors, my network, and simply through extensive experience to simply live the best work/life balance in web design, thus giving high-value advice and actionable knowledge to other web designers.My ethnic background is English and Mauritian. I am also a Co-Owner of a community company and I take part in freelance modeling and commercial acting.I am passionate about sports & fitness, nature, gaming, traveling & I consider myself an adrenaline-junkie!  ?I am also a certified scuba diver and have traveled to around 28 countries & counting.Hiện thêmẨn bớt",91%,7%,0%,2%,0%,Lần cập nhật gần đây nhất 2/2025,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế web,Kinh doanh thiết kế web,8 phần,37 bài giảng,56 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/how-to-easily-start-a-worthwhile-web-design-business-in-2023/
584,Rhino Grasshopper Basics Course,"Foundation of Parametric design for Beginners, Architects, Engineers, Product designers, Urban designers",N/A,"Xếp hạng: 4,9/54,9 (5 xếp hạng)25 học viên","Syed Mohammad AsimFounder Architect4,8 xếp hạng giảng viên7 đánh giá36 học viên3 khóa họcArchitect Asim is the founder of ArchiCodes®, an architecture firm at the intersection of thoughtful design and digital innovation.He holds a B.Arch., an M.Arch. in Advanced Architectural Design, and an MBA in Financial Management.Asim is a practicing architect with hands-on experience designing and delivering real-world projects across healthcare, education, and modular infrastructure. He is especially recognized for his expertise in clinic interior design, having worked on multiple diagnostic centers and dental clinics that prioritize both functionality and patient experience.Alongside his architectural practice, Asim is deeply passionate about teaching. He regularly conducts live workshops on computational design tools like Grasshopper and Dynamo, empowering architects to integrate coding into their workflows.Having built his career from the ground up, Asim understands the challenges of starting out in a new field. His teaching style is empathetic, practical, and inclusive—designed to support learners of all levels, professions, and backgrounds.Whether you’re an aspiring architect or a seasoned designer looking to specialize in healthcare spaces, Asim brings both real-world insight and a personal touch to every lesson.Hiện thêmẨn bớt",80%,20%,0%,0%,0%,Lần cập nhật gần đây nhất 4/2025,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế kiến trúc,Grasshopper 3d,7 phần,33 bài giảng,5 giờ 24 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/grasshopper-basics/
585,Homestyler Like a Pro (Part.1),Mastering Interior Design with Homestyler: A Comprehensive Guide to Creating Stunning 3D Spaces,N/A,"Xếp hạng: 4,9/54,9 (4 xếp hạng)13 học viên","Daniah A.RazzakArchitect4,9 xếp hạng giảng viên4 đánh giá13 học viên1 khóa họcAs an architect and interior designer with experience in the industry, I have developed a passion for teaching and sharing my knowledge. I am proud to be an instructor on Udemy platform, where I guide students in mastering powerful tools for creating 3D models, floor plans, and realistic interior design layouts.With a strong foundation in architecture, building services, and BIM, I bring a comprehensive understanding of design to my teaching. I help students harness the potential of Homestyler, enabling them to bring their ideas to life with precision and creativity. By incorporating practical tools such as color palettes, mood boards, and 3D visualizations, I ensure that my students not only learn the technical aspects of design but also develop the skills to create functional and aesthetically pleasing spaces.Through my commitment to ongoing learning and teaching, I strive to inspire the next generation of designers and architects, equipping them with the skills they need to succeedHiện thêmẨn bớt",75%,25%,0%,0%,0%,Lần cập nhật gần đây nhất 1/2025,899.000 ₫,N/A,N/A,Thiết kế,Thiết kế nội thất,Thiết kế nội thất,8 phần,20 bài giảng,2 giờ 6 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/homestyler-like-a-pro-part1/
586,Foundations of Reverse Engineering,Reverse Engineering Essentials: Converting Physical Objects to CAD Models,N/A,"Xếp hạng: 4,9/54,9 (3 xếp hạng)356 học viên","CNC TechCNC Machinist, Engineer4,2 xếp hạng giảng viên68 đánh giá962 học viên2 khóa họcThrough my company, CNC Tech Inc., a precision machining company. My company specializes in milling of aluminum and custom shaped extrusions, we also work with various types of plastics and steel.We also provide educational content for the next generation of machinists and engineers through hands-on training and comprehensive courses. Our expert instructors combine industry experience with cutting-edge technology to offer immersive learning experiences. From basic CNC operation to advanced engineering principles, we equip students with the skills needed to excel in a rapidly evolving field.",67%,33%,0%,0%,0%,Lần cập nhật gần đây nhất 9/2024,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Kỹ thuật đảo ngược,6 phần,17 bài giảng,45 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/foundations-of-reverse-engineering/
587,Texturing in ZBrush (Photo projection),Learn to texture characters using ZAppLink with Photoshop,N/A,"Xếp hạng: 4,9/54,9 (5 xếp hạng)81 học viên","David BittorfMaya / ZBrush Award Winning Tutor4,5 xếp hạng giảng viên503 đánh giá4595 học viên14 khóa họcI'm very passionate about 3D. I'm currently creating courses in Maya, ZBrush, and Substance Painter.   I've been teaching Autodesk Maya and Pixologic ZBrush at a college level for 18 years. I've also worked for the Digital Media Academy and have taught Maya and ZBrush to a wide range of learners spanning from high school students to instructors. I have experience tutoring students 1-on1 since 2006. In 2010 I won ""Teacher of the Year"" at my college and two years later I won a world wide award ""CG and VFX instructor of the Year"" by Digital Tutors.My professional profile outside of teaching includes a wide range of real world experience. I have posed and lit characters for ""The Order 1886"" (Playstation 4). I was a character modeler / texture artist / and rigger for Gemvara. I've done modeling / lighting / rendering for several iPhone and iPad apps. I've worked on some independent games, product visualizations and have one of the top rated online 3D libraries in the world. I've been teaching Maya since 2006 but have been mastering it since 2002.Hiện thêmẨn bớt",80%,20%,0%,0%,0%,Lần cập nhật gần đây nhất 7/2020,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế trò chơi,Kết cấu 3D,1 phần,31 bài giảng,4 giờ 45 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/texturing-in-zbrush-photo-projection/
588,SPLENDID FAIRYWREN - Paint Realistic Watercolour and BIRDS,Paint Realistic Watercolour and BIRDS,N/A,"Xếp hạng: 4,9/54,9 (17 xếp hạng)115 học viên","Heidi WillisRenowned Watercolor Artist and Art Tutor4,6 xếp hạng giảng viên4989 đánh giá21535 học viên7 khóa họcHeidi Willis ~ Renowned Natural History Artist, Botanical Illustrator and Watercolour Painting TutorAustralian born, Heidi Willis is an entirely self-taught Natural History watercolour artist. Her work intricately illustrates our native and exotic plants, flowers, fruits and seed capsules, whilst her powerful & distinctive portraits of our spectacular bird life offers viewers an insight into the world as she experiences it. Painting full-time since 2003, Heidi quickly established herself as one of Australia’s emerging artistic talents. Her reputation as a leading natural history, wildlife and botanical artist is well established and her meticulous and intricate studies of botany and birds can be found in significant public and private collections around the world.

  Heidi’s work has featured in prominent national and international exhibitions over her career. Highlights include The Waterhouse Natural Science Art Prize six times to date. The Waterhouse Natural History Art Prize is one of Australia’s most prestigious and richest art competitions held by the South Australian Natural History Museum. Several of her works have been showcased as a finalist at the Focus On Nature exhibitions, a leading international Natural History Art Prize held in the New York State Museum. Her work has also featured and won awards in both Botanica and The Margaret Flockton Award, hosted by the Royal Botanic Gardens, Sydney.

  Her work is held in the permanent collection at the Hunt Institute for Botanical Documentation PA, USA and her work has also been included in the highly regarded Shirley Sherwood Collection. Her work has also been featured in several publications, most significantly Better Homes and Gardens Magazine, Craft Arts Magazine, Colophon, SA Life, International Artist Magazine (front cover), twice in Artist's Palette Magazine (front cover), twice in Australian Artist Magazine (front cover) and Australian Geographic Magazine multiple times over, with her work featured on the front cover of Artist’s Palette issue 123. Most recently, Heidi was taken on by Australian Geographic as a freelance botanical illustrator where her work features in the Nature Watch section of the magazine.With her work in such demand and her watercolour masterclasses booked out over a year in advance, she has turned her focus to online teaching, face to face, on Patreon and here on Udemy in order to reach and help more people pursue and achieve their own watercolour goals.Hiện thêmẨn bớt",82%,18%,0%,0%,0%,Lần cập nhật gần đây nhất 5/2024,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế & Minh họa đồ họa,N/A,9 phần,14 bài giảng,2 giờ 45 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/splendid-fairywren-paint-realistic-watercolour-and-birds/
589,Interior Design: Style Your Home With Wall Art,Create a Beautiful Home With Wall Art.,N/A,"Xếp hạng: 4,9/54,9 (18 xếp hạng)636 học viên","Ana MarcuDesign for happiness and wellbeing.4,5 xếp hạng giảng viên247 đánh giá6989 học viên15 khóa họcI’m a licensed architect with over a decade of experience in Vienna, Austria. I have a double degree in Architecture and” Building Science and Technology” and I am deeply passionate about architecture psychology and optimizing the interior design in order to create great emotional experiences for people. My goal is to design spaces that make people FEEL loved, happier, healthier and more creative.",72%,28%,0%,0%,0%,Lần cập nhật gần đây nhất 6/2023,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế nội thất,Thiết kế nội thất,2 phần,10 bài giảng,37 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/interior-design-style-your-home-with-wall-art/
590,The Power Shape Layers,How to Master Shape Layers in After Effects,N/A,"Xếp hạng: 4,9/54,9 (194 xếp hạng)639 học viên","Jeffrey KnightProfessional Motion Graphic Designer4,9 xếp hạng giảng viên194 đánh giá639 học viên1 khóa họcI’m a motion graphic designer with over a decade of experience working for ad agencies, film agencies, studios, and businesses of all sizes. I’ve also worked as an independent contractor for clients in virtually every field, including advertising, tech, banking, real estate, music, fashion, and film. I’ve also taught courses at the college level, and I produce tutorials for a YouTube channel called “7 Minutes AE Tutorials.",79%,19%,1%,1%,0%,Lần cập nhật gần đây nhất 4/2020,2.499.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Adobe After Effects,6 phần,75 bài giảng,5 giờ 30 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/power-of-shape-layers/
591,How to Draw Anime Eyes - Drawing Manga Course,How to Draw Anime Eyes for Beginners,N/A,"Xếp hạng: 4,9/54,9 (59 xếp hạng)137 học viên","Enrique PlazolaTeaching You to Draw4,8 xếp hạng giảng viên1527 đánh giá1367 học viên34 khóa họcHI, I teach beginners to go from newbies to FULL BLOWN ARTISTS. I go over the basics of drawing, fantasy art, art advice and so much more! If you have never drawn in your life, you found the right teacher. I teach anyone to draw step by step in a simple and easy way to learn. I'm based in the united states and have been drawing for 15 years. I went to art school in Art Center School of Design in Pasadena. I worked at movie studios, game studios, tshirt companies, theme parks and more.  I post lessons often so stay tuned!",95%,5%,0%,0%,0%,Lần cập nhật gần đây nhất 12/2021,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Anime,6 phần,6 bài giảng,39 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/how-to-draw-anime-eyes/
592,Rendering in Maya / Unreal / Marmoset / Sketchfab,Learn to render and light your 3D models in your favorite render engine!,N/A,"Xếp hạng: 4,9/54,9 (5 xếp hạng)67 học viên","David BittorfMaya / ZBrush Award Winning Tutor4,5 xếp hạng giảng viên503 đánh giá4595 học viên14 khóa họcI'm very passionate about 3D. I'm currently creating courses in Maya, ZBrush, and Substance Painter.   I've been teaching Autodesk Maya and Pixologic ZBrush at a college level for 18 years. I've also worked for the Digital Media Academy and have taught Maya and ZBrush to a wide range of learners spanning from high school students to instructors. I have experience tutoring students 1-on1 since 2006. In 2010 I won ""Teacher of the Year"" at my college and two years later I won a world wide award ""CG and VFX instructor of the Year"" by Digital Tutors.My professional profile outside of teaching includes a wide range of real world experience. I have posed and lit characters for ""The Order 1886"" (Playstation 4). I was a character modeler / texture artist / and rigger for Gemvara. I've done modeling / lighting / rendering for several iPhone and iPad apps. I've worked on some independent games, product visualizations and have one of the top rated online 3D libraries in the world. I've been teaching Maya since 2006 but have been mastering it since 2002.Hiện thêmẨn bớt",80%,20%,0%,0%,0%,Lần cập nhật gần đây nhất 5/2020,419.000 ₫,N/A,N/A,Thiết kế,Thiết kế trò chơi,Chiếu sáng 3D,5 phần,30 bài giảng,3 giờ 36 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/rendering-in-maya-unreal-marmoset-sketchfab/
593,How to Draw a Mermaid in Procreate (join MerMay in 2023!),"If you want to jumpstart on the MerMay challenge, this is the perfect course for you!",N/A,"Xếp hạng: 4,9/54,9 (15 xếp hạng)19 học viên","Lara MilitaruDigital Illustrator & Coach4,9 xếp hạng giảng viên114 đánh giá239 học viên7 khóa họcI am glad you landed on my profile and I hope you are interested in the classes that I teach. I am a published Children Book Illustrator, an avid learner and a decent coach. Maybe better than decent, but you can tell me that in the reviews of my classes :)I would love to get to see your work in the assignments sections of my classes. I will give you feedback on your work, whether it's final or in progress.Also, help me help you by telling me what you struggle with the most, then I will be able to make classes that will answer your questions.Hiện thêmẨn bớt",93%,7%,0%,0%,0%,Lần cập nhật gần đây nhất 8/2023,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế & Minh họa đồ họa,Ứng dụng vẽ hình minh họa kỹ thuật số Procreate,3 phần,7 bài giảng,1 giờ 41 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/how-to-draw-a-mermaid-in-procreate-join-mermay-in-2023/
